"submitted_name","accepted_name","Kingdom","Phylum","Class","Order","Family","Genus"
"Pyrenophora lolii","Pyrenophora lolii","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora"
"Pyrenophora teres","Pyrenophora teres","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora"
"Pyrenophora tritici-repentis","Pyrenophora tritici-repentis","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora"
"Ramaria stricta","Ramaria stricta","Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Ramaria"
"Ramularia collo-cygni","Ramularia collo-cygni","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia"
"Ramularia endophylla","Mycosphaerella punctiformis","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Mycosphaerella"
"Rhizoctonia solani","Rhizoctonia solani","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia"
"Rhodocollybia butyracea","Rhodocollybia butyracea","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Rhodocollybia"
"Russula acrifolia","Russula acrifolia","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula curtipes","Russula curtipes","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula ochroleuca","Russula ochroleuca","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula romellii","Russula romellii","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula solaris","Russula solaris","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula velenovskyi","Russula velenovskyi","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Sarocladium strictum","Sarocladium strictum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium"
"Scleroderma bovista","Scleroderma bovista","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma"
"Sordariomycetes sp",NA,"Fungi","Ascomycota","Sordariomycetes",NA,NA,NA
"Stereum rugosum","Stereum rugosum","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum"
"Strobilomyces strobilaceus","Strobilomyces strobilaceus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Strobilomyces"
"Stropharia caerulea","Stropharia caerulea","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Stropharia"
"Tephrocybe boudieri","Lyophyllum boudieri","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Lyophyllum"
"Thielaviopsis paradoxa","Ceratocystis paradoxa","Fungi","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Ceratocystis"
"Tolypocladium sp",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium"
"Trichoderma gamsii","Trichoderma gamsii","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"Trichoderma hamatum","Trichoderma hamatum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"Trichoderma harzianum","Trichoderma harzianum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"Trichoderma velutinum","Trichoderma velutinum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"Tricholoma album","Tricholoma album","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma"
"Tricholoma orirubens","Tricholoma orirubens","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma"
