"","Phylum","Class","Order","Family","Genus","Species","MockStrain","Kingdom","ITS1","Si5"
"73","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_graminearum","Fusarium_graminearum_MIAE01623_KF624778_1_sanger","Fungi","Fusarium_graminearum_MIAE01623_KF624778_1_sangerITS1",NA
"74","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_langsethiae","Fusarium_langsethiae_MIAE00289_sanger","Fungi","Fusarium_sporotrichioides_MIAE00304_sangerITS1",NA
"75","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum","Fusarium_oxysporum_MIAE00047_sanger","Fungi","Fusarium_commune_MIAE00101_sangerITS1",NA
"76","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_redolens","Fusarium_redolens_MIAE01652_sanger","Fungi","Fusarium_redolens_MIAE01652_sangerITS1",NA
"77","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sp","Fusarium_sp_MIAE00291_sanger","Fungi","Fusarium_sp_MIAE00291_sangerITS1",NA
"78","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sporotrichioides","Fusarium_sporotrichioides_MIAE00304_sanger","Fungi","Fusarium_sporotrichioides_MIAE00304_sangerITS1","Fusarium_sporotrichioides_MIAE00304_sangerITS1Si5"
"79","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_verticillioides","Fusarium_verticillioides_MIAE00061_sanger","Fungi","Fusarium_fujikuroi_species_complex_MIAE01800_sangerITS1",NA
"80","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Gaeumannomyces","Gaeumannomyces_tritici","Gaeumannomyces_tritici_MB15_G_gram3_sanger","Fungi","Gaeumannomyces_tritici_MB15_G_gram3_sangerITS1","Gaeumannomyces_tritici_MB15_G_gram3_sangerITS1Si5"
"81","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Galerina","Galerina_marginata","Galerina_marginata_M167_sanger","Fungi","Galerina_marginata_M167_sangerITS1","Galerina_marginata_M167_sangerITS1Si5"
"82","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis_nigrescens","Gibellulopsis_nigrescens_MIAE00048_sanger","Fungi","Gibellulopsis_nigrescens_MIAE00048_sangerITS1","Gibellulopsis_nigrescens_MIAE00048_sangerITS1Si5"
"83","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Gliomastix","Gliomastix_murorum","Gliomastix_murorum_MIAE00393_sanger","Fungi","Gliomastix_murorum_MIAE00393_sangerITS1","Gliomastix_murorum_MIAE00393_sangerITS1Si5"
"84","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Gymnopus","Gymnopus_aquosus","Gymnopus_aquosus_M9_AY256691_1_sanger","Fungi","Gymnopus_aquosus_M9_AY256691_1_sangerITS1","Gymnopus_aquosus_M9_AY256691_1_sangerITS1Si5"
"85","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Hebeloma","Hebeloma_sinapizans","Hebeloma_sinapizans_M143_KT218459_1_sanger","Fungi","Hebeloma_sinapizans_M143_KT218459_1_sangerITS1","Hebeloma_sinapizans_M143_KT218459_1_sangerITS1Si5"
"86","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Humaria","Humaria_hemisphaerica","Humaria_hemisphaerica_M74_sanger","Fungi","Humaria_hemisphaerica_M74_sangerITS1","Humaria_hemisphaerica_M74_sangerITS1Si5"
"87","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus","Hygrophorus_chrysaspis","Hygrophorus_chrysaspis_M182_sanger","Fungi","Hygrophorus_chrysaspis_M182_sangerITS1","Hygrophorus_chrysaspis_M182_sangerITS1Si5"
"88","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus","Hygrophorus_discoxanthus","Hygrophorus_discoxanthus_M158_UDB000021_DQ367904_1_sanger","Fungi","Hygrophorus_discoxanthus_M158_UDB000021_DQ367904_1_sangerITS1","Hygrophorus_discoxanthus_M158_UDB000021_DQ367904_1_sangerITS1Si5"
"89","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Hypholoma","Hypholoma_fasciculare","Hypholoma_fasciculare_M3_sanger","Fungi","Hypholoma_fasciculare_M3_sangerITS1","Hypholoma_fasciculare_M3_sangerITS1Si5"
"90","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria_sp","Ilyonectria_sp_MIAE00158_sanger","Fungi","Ilyonectria_sp_MIAE00158_sangerITS1","Ilyonectria_sp_MIAE00158_sangerITS1Si5"
"91","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_asterospora","Inocybe_asterospora_M55_sanger","Fungi","Inocybe_asterospora_M55_sangerITS1","Inocybe_asterospora_M55_sangerITS1Si5"
"92","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_cervicolor","Inocybe_cervicolor_M88_sanger","Fungi","Inocybe_cervicolor_M88_sangerITS1","Inocybe_cervicolor_M88_sangerITS1Si5"
"93","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_lilacina","Inocybe_lilacina_M169_sanger","Fungi","Inocybe_lilacina_M169_sangerITS1","Inocybe_lilacina_M169_sangerITS1Si5"
"94","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_petiginosa","Inocybe_petiginosa_M43_sanger","Fungi","Inocybe_petiginosa_M43_sangerITS1","Inocybe_petiginosa_M43_sangerITS1Si5"
"95","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Kuehneromyces","Kuehneromyces_mutabilis","Kuehneromyces_mutabilis_M64_rm_sanger","Fungi","Kuehneromyces_mutabilis_M64_rm_sangerITS1","Kuehneromyces_mutabilis_M64_rm_sangerITS1Si5"
"96","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Laccaria","Laccaria_amethystina","Laccaria_amethystina_M65_UDB001492_sanger","Fungi","Laccaria_amethystina_M65_UDB001492_sangerITS1",NA
"97","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Laccaria","Laccaria_laccata","Laccaria_laccata_M73_sanger","Fungi","Laccaria_laccata_M73_sangerITS1","Laccaria_laccata_M73_sangerITS1Si5"
"98","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_blennius","Lactarius_blennius_M69_sanger","Fungi","Lactarius_blennius_M69_sangerITS1","Lactarius_blennius_M69_sangerITS1Si5"
"99","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_britannicus","Lactarius_britannicus_M154_sanger","Fungi","Lactarius_britannicus_M154_sangerITS1",NA
"100","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_piperatus","Lactarius_piperatus_M33_sanger","Fungi","Lactarius_piperatus_M33_sangerITS1","Lactarius_piperatus_M33_sangerITS1Si5"
"101","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_subdulcis","Lactarius_subdulcis_M78_sanger","Fungi","Lactarius_subdulcis_M78_sangerITS1","Lactarius_subdulcis_M78_sangerITS1Si5"
"102","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","Lepiota_boudieri","Lepiota_boudieri_M42_rm_sanger","Fungi","Lepiota_boudieri_M42_rm_sangerITS1","Lepiota_boudieri_M42_rm_sangerITS1Si5"
"103","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","Lepiota_castanea","Lepiota_castanea_M110_EU416280_1_sanger","Fungi","Lepiota_castanea_M110_EU416280_1_sangerITS1","Lepiota_castanea_M110_EU416280_1_sangerITS1Si5"
"104","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","Lepiota_clypeolaria","Lepiota_clypeolaria_M86_KP640560_1_sanger","Fungi","Lepiota_clypeolaria_M86_KP640560_1_sangerITS1",NA
